match_id,team_1,team_2,date,match_number,venue,city,toss_winner,toss_decision,umpire_1,umpire_2,tv_umpire,match_referee,winner,win_by,winner_type,player_of_match_1
829709,Kings XI Punjab,Rajasthan Royals,10-04-2015,3,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,field,SD Fry,CB Gaffaney,K Srinath,GF Labrooy,Rajasthan Royals,26,runs,JP Faulkner
829711,Chennai Super Kings,Sunrisers Hyderabad,11-04-2015,4,"""MA Chidambaram Stadium",Chennai,Chennai Super Kings,bat,RK Illingworth,VA Kulkarni,RM Deshpande,M Nayyar,Chennai Super Kings,45,runs,BB McCullum
829713,Kolkata Knight Riders,Royal Challengers Bangalore,11-04-2015,5,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,S Ravi,C Shamshuddin,PG Pathak,J Srinath,Royal Challengers Bangalore,3,wickets,CH Gayle
829715,Delhi Daredevils,Rajasthan Royals,12-04-2015,6,Feroz Shah Kotla,Delhi,Rajasthan Royals,,SD Fry,CB Gaffaney,CK Nandan,GF Labrooy,Rajasthan Royals,3,wickets,DJ Hooda
829715,Delhi Daredevils,Rajasthan Royals,12-04-2015,6,Feroz Shah Kotla,Delhi,Rajasthan Royals,field,SD Fry,CB Gaffaney,CK Nandan,GF Labrooy,Rajasthan Royals,3,wickets,DJ Hooda
829717,Mumbai Indians,Kings XI Punjab,12-04-2015,7,Wankhede Stadium,Mumbai,Mumbai Indians,,AK Chaudhary,K Srinivasan,K Srinath,Chinmay Sharma,Kings XI Punjab,18,runs,GJ Bailey
829719,Royal Challengers Bangalore,Sunrisers Hyderabad,13-04-2015,8,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,RM Deshpande,RK Illingworth,VA Kulkarni,M Nayyar,Sunrisers Hyderabad,8,wickets,DA Warner
829719,Royal Challengers Bangalore,Sunrisers Hyderabad,13-04-2015,8,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,RM Deshpande,RK Illingworth,VA Kulkarni,M Nayyar,Sunrisers Hyderabad,8,wickets,DA Warner
829721,Rajasthan Royals,Mumbai Indians,14-04-2015,9,"""Sardar Patel Stadium",Ahmedabad,Mumbai Indians,bat,AK Chaudhary,SD Fry,K Srinivasan,Chinmay Sharma,Rajasthan Royals,7,,SPD Smith
829725,Kings XI Punjab,Delhi Daredevils,15-04-2015,10,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,bat,CB Gaffaney,K Srinath,CK Nandan,GF Labrooy,Delhi Daredevils,5,,MA Agarwal
